TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
1766.84563,98.689
1764.80539,98.713
1762.76515,98.721
1760.72492,98.708
1758.68468,98.693
1756.64444,98.698
1754.6042,98.714
1752.56397,98.704
1750.52373,98.667
1748.48349,98.651
1746.44325,98.679
1744.40302,98.727
1742.36278,98.772
1740.32254,98.789
1738.2823,98.768
1736.24207,98.723
1734.20183,98.666
1732.16159,98.634
1730.12135,98.646
1728.08112,98.676
1726.04088,98.704
1724.00064,98.723
1721.9604,98.743
1719.92017,98.759
1717.87993,98.744
1715.83969,98.708
1713.79945,98.698
1711.75922,98.714
1709.71898,98.732
1707.67874,98.737
1705.63851,98.722
1703.59827,98.702
1701.55803,98.682
1699.51779,98.648
1697.47756,98.625
1695.43732,98.647
1693.39708,98.681
1691.35684,98.681
1689.31661,98.663
1687.27637,98.664
1685.23613,98.674
1683.19589,98.668
1681.15566,98.668
1679.11542,98.684
1677.07518,98.69
1675.03494,98.674
1672.99471,98.66
1670.95447,98.658
1668.91423,98.653
1666.87399,98.659
1664.83376,98.681
1662.79352,98.698
1660.75328,98.693
1658.71304,98.679
1656.67281,98.668
1654.63257,98.651
1652.59233,98.631
1650.55209,98.643
1648.51186,98.666
1646.47162,98.676
1644.43138,98.678
1642.39114,98.679
1640.35091,98.681
1638.31067,98.682
1636.27043,98.669
1634.23019,98.656
1632.18996,98.668
1630.14972,98.686
1628.10948,98.687
1626.06924,98.682
1624.02901,98.684
1621.98877,98.686
1619.94853,98.691
1617.90829,98.705
1615.86806,98.723
1613.82782,98.736
1611.78758,98.726
1609.74735,98.694
1607.70711,98.664
1605.66687,98.65
1603.62663,98.638
1601.5864,98.629
1599.54616,98.638
1597.50592,98.664
1595.46568,98.689
1593.42545,98.707
1591.38521,98.714
1589.34497,98.706
1587.30473,98.692
1585.2645,98.678
1583.22426,98.671
1581.18402,98.676
1579.14378,98.687
1577.10355,98.684
1575.06331,98.68
1573.02307,98.695
1570.98283,98.701
1568.9426,98.683
1566.90236,98.673
1564.86212,98.687
1562.82188,98.7
1560.78165,98.662
1558.74141,98.563
1556.70117,98.512
1554.66093,98.524
1552.6207,98.541
1550.58046,98.555
1548.54022,98.572
1546.49998,98.567
1544.45975,98.533
1542.41951,98.506
1540.37927,98.516
1538.33903,98.548
1536.2988,98.574
1534.25856,98.58
1532.21832,98.582
1530.17808,98.594
1528.13785,98.596
1526.09761,98.58
1524.05737,98.582
1522.01713,98.599
1519.9769,98.585
1517.93666,98.549
1515.89642,98.538
1513.85619,98.553
1511.81595,98.545
1509.77571,98.487
1507.73547,98.446
1505.69524,98.513
1503.655,98.605
1501.61476,98.641
1499.57452,98.639
1497.53429,98.63
1495.49405,98.623
1493.45381,98.609
1491.41357,98.569
1489.37334,98.537
1487.3331,98.563
1485.29286,98.622
