TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
1583.22426,96.654
1581.18402,96.650
1579.14378,96.649
1577.10355,96.641
1575.06331,96.638
1573.02307,96.662
1570.98283,96.689
1568.9426,96.686
1566.90236,96.683
1564.86212,96.704
1562.82188,96.738
1560.78165,96.760
1558.74141,96.726
1556.70117,96.665
1554.66093,96.650
1552.6207,96.662
1550.58046,96.674
1548.54022,96.681
1546.49998,96.683
1544.45975,96.669
1542.41951,96.664
1540.37927,96.683
1538.33903,96.694
1536.2988,96.692
1534.25856,96.677
1532.21832,96.659
1530.17808,96.670
1528.13785,96.688
1526.09761,96.682
1524.05737,96.685
1522.01713,96.720
1519.9769,96.749
1517.93666,96.739
1515.89642,96.689
1513.85619,96.634
1511.81595,96.599
1509.77571,96.576
1507.73547,96.548
1505.69524,96.532
1503.655,96.545
1501.61476,96.578
1499.57452,96.608
1497.53429,96.610
1495.49405,96.597
1493.45381,96.594
1491.41357,96.582
