TITLE SAMPLE NAME:,PET_ZEPTO_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99
LASTX:,599.82981
LASTY:,99.064
NPOINTS:,1681
1923.94391,99.124
1921.90367,99.102
1919.86344,99.11
1917.8232,99.156
1915.78296,99.088
1913.74272,99.061
1911.70249,99.124
1909.66225,99.164
1907.62201,99.133
1905.58177,99.113
1903.54154,99.142
1901.5013,99.161
1899.46106,99.155
1897.42083,99.172
1895.38059,99.19
1893.34035,99.16
1891.30011,99.193
1889.25988,99.244
1887.21964,99.198
1885.1794,99.181
1883.13916,99.198
1881.09893,99.197
1879.05869,99.198
1877.01845,99.205
1874.97821,99.188
1872.93798,99.146
1870.89774,99.19
1868.8575,99.259
1866.81726,99.19
1864.77703,99.123
1862.73679,99.161
1860.69655,99.214
1858.65631,99.232
1856.61608,99.231
1854.57584,99.223
1852.5356,99.207
1850.49536,99.178
1848.45513,99.143
1846.41489,99.198
1844.37465,99.303
1842.33441,99.218
1840.29418,99.124
1838.25394,99.178
1836.2137,99.202
1834.17346,99.17
1832.13323,99.23
1830.09299,99.298
1828.05275,99.209
1826.01251,99.176
1823.97228,99.184
1821.93204,99.136
1819.8918,99.148
1817.85156,99.181
1815.81133,99.167
1813.77109,99.171
1811.73085,99.223
1809.69061,99.221
1807.65038,99.168
1805.61014,99.141
1803.5699,99.164
1801.52967,99.213
1799.48943,99.185
1797.44919,99.105
1795.40895,99.152
1793.36872,99.342
1791.32848,99.346
1789.28824,99.157
1787.248,99.144
1785.20777,99.241
1783.16753,99.276
1781.12729,99.29
1779.08705,99.226
1777.04682,99.135
1775.00658,99.216
1772.96634,99.396
1770.9261,99.356
1768.88587,99.244
1766.84563,99.211
1764.80539,99.236
1762.76515,99.359
1760.72492,99.341
1758.68468,99.274
1756.64444,99.27
1754.6042,99.198
1752.56397,99.242
1750.52373,99.309
1748.48349,99.167
1746.44325,98.983
1744.40302,98.895
1742.36278,98.879
1740.32254,98.792
1738.2823,98.506
1736.24207,98.409
1734.20183,98.433
1732.16159,98.039
1730.12135,97.702
1728.08112,97.585
1726.04088,97.494
1724.00064,97.337
1721.9604,97.084
1719.92017,97.005
1717.87993,96.975
1715.83969,96.609
1713.79945,96.258
1711.75922,96.173
1709.71898,96.263
1707.67874,96.439
1705.63851,96.502
1703.59827,96.452
1701.55803,96.711
1699.51779,96.937
1697.47756,97.027
1695.43732,97.21
1693.39708,97.164
1691.35684,97.191
1689.31661,97.277
1687.27637,97.415
1685.23613,97.811
1683.19589,97.827
1681.15566,97.505
1679.11542,97.511
1677.07518,97.814
1675.03494,97.983
1672.99471,97.897
1670.95447,98.037
1668.91423,98.144
1666.87399,97.966
1664.83376,98.057
1662.79352,98.328
1660.75328,98.272
1658.71304,98.066
1656.67281,98.16
1654.63257,98.693
1652.59233,98.743
1650.55209,98.151
1648.51186,98.242
1646.47162,98.622
1644.43138,98.479
1642.39114,98.304
1640.35091,98.332
1638.31067,98.569
1636.27043,98.905
1634.23019,98.763
1632.18996,98.474
1630.14972,98.551
1628.10948,98.688
1626.06924,98.697
1624.02901,98.737
1621.98877,98.62
1619.94853,98.543
1617.90829,98.821
1615.86806,98.887
1613.82782,98.618
1611.78758,98.571
1609.74735,98.698
1607.70711,98.752
1605.66687,98.737
1603.62663,98.742
1601.5864,98.758
1599.54616,98.766
1597.50592,98.798
1595.46568,98.829
1593.42545,98.814
1591.38521,98.786
1589.34497,98.786
1587.30473,98.804
1585.2645,98.821
1583.22426,98.78
1581.18402,98.665
1579.14378,98.684
1577.10355,98.898
1575.06331,98.791
1573.02307,98.536
1570.98283,98.728
1568.9426,98.897
1566.90236,98.747
1564.86212,98.575
1562.82188,98.545
1560.78165,99.023
1558.74141,99.386
1556.70117,98.838
1554.66093,98.529
1552.6207,98.609
1550.58046,98.702
1548.54022,98.635
1546.49998,98.531
1544.45975,98.57
1542.41951,98.818
1540.37927,99.112
1538.33903,98.787
1536.2988,98.505
1534.25856,98.758
1532.21832,98.808
1530.17808,98.614
1528.13785,98.623
1526.09761,98.622
1524.05737,98.632
1522.01713,98.789
1519.9769,98.728
1517.93666,98.669
1515.89642,98.694
1513.85619,98.591
1511.81595,98.479
1509.77571,98.571
1507.73547,98.92
1505.69524,98.803
1503.655,98.349
1501.61476,98.331
1499.57452,98.662
1497.53429,98.916
1495.49405,98.828
1493.45381,98.658
1491.41357,98.781
1489.37334,98.942
