TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
1624.02901,99.05
1621.98877,99.15
1619.94853,99.289
1617.90829,99.088
1615.86806,99.001
1613.82782,99.182
1611.78758,99.173
1609.74735,99.046
1607.70711,99.021
1605.66687,99.055
1603.62663,99.056
1601.5864,99.069
1599.54616,99.111
1597.50592,99.115
1595.46568,99.086
1593.42545,99.087
1591.38521,99.098
1589.34497,99.092
1587.30473,99.082
1585.2645,99.072
1583.22426,99.089
1581.18402,99.16
1579.14378,99.112
1577.10355,98.882
1575.06331,98.974
1573.02307,99.252
1570.98283,99.116
1568.9426,98.986
1566.90236,99.151
1564.86212,99.342
1562.82188,99.418
1560.78165,99.009
1558.74141,98.629
1556.70117,99.048
1554.66093,99.293
1552.6207,99.193
1550.58046,99.066
1548.54022,99.109
1546.49998,99.192
1544.45975,99.166
1542.41951,99.056
1540.37927,98.907
1538.33903,99.225
1536.2988,99.464
1534.25856,99.187
1532.21832,99.098
1530.17808,99.239
1528.13785,99.157
1526.09761,99.093
1524.05737,99.107
1522.01713,99.037
1519.9769,99.128
1517.93666,99.143
1515.89642,99.098
1513.85619,99.229
1511.81595,99.297
1509.77571,99.031
1507.73547,98.498
1505.69524,98.582
1503.655,99.099
1501.61476,99.204
1499.57452,99.007
1497.53429,98.933
1495.49405,99.168
1493.45381,99.364
1491.41357,99.145
1489.37334,98.903
1487.3331,99.023
1485.29286,99.208
1483.25262,99.224
