TITLE SAMPLE NAME:,HDPE_NO_SOAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.45
LASTX:,599.82981
LASTY:,98.269
NPOINTS:,1681
2101.44457,98.205
2099.40433,98.228
2097.36409,98.239
2095.32386,98.234
2093.28362,98.214
2091.24338,98.194
2089.20315,98.186
2087.16291,98.18
2085.12267,98.179
2083.08243,98.19
2081.0422,98.192
2079.00196,98.187
2076.96172,98.197
2074.92148,98.206
2072.88125,98.202
2070.84101,98.193
2068.80077,98.191
2066.76053,98.188
2064.7203,98.178
2062.68006,98.174
2060.63982,98.18
2058.59958,98.193
2056.55935,98.208
2054.51911,98.215
2052.47887,98.209
2050.43863,98.198
2048.3984,98.196
2046.35816,98.203
2044.31792,98.199
2042.27768,98.179
2040.23745,98.172
2038.19721,98.183
2036.15697,98.191
2034.11673,98.198
2032.0765,98.213
2030.03626,98.227
2027.99602,98.235
2025.95578,98.242
2023.91555,98.237
2021.87531,98.207
2019.83507,98.172
2017.79483,98.159
2015.7546,98.167
2013.71436,98.179
2011.67412,98.189
2009.63388,98.202
2007.59365,98.217
2005.55341,98.226
2003.51317,98.215
2001.47293,98.191
1999.4327,98.183
1997.39246,98.191
1995.35222,98.189
1993.31199,98.167
1991.27175,98.142
1989.23151,98.124
1987.19127,98.127
1985.15104,98.151
1983.1108,98.172
1981.07056,98.177
1979.03032,98.174
1976.99009,98.17
1974.94985,98.167
1972.90961,98.172
1970.86937,98.178
1968.82914,98.158
1966.7889,98.138
1964.74866,98.16
1962.70842,98.196
1960.66819,98.199
1958.62795,98.172
1956.58771,98.142
1954.54747,98.132
1952.50724,98.142
1950.467,98.153
1948.42676,98.159
1946.38652,98.158
1944.34629,98.141
1942.30605,98.124
1940.26581,98.129
1938.22557,98.147
1936.18534,98.149
1934.1451,98.142
1932.10486,98.149
1930.06462,98.163
1928.02439,98.158
1925.98415,98.135
1923.94391,98.117
1921.90367,98.117
1919.86344,98.122
1917.8232,98.118
1915.78296,98.123
1913.74272,98.142
1911.70249,98.152
1909.66225,98.14
1907.62201,98.122
1905.58177,98.124
1903.54154,98.136
1901.5013,98.139
1899.46106,98.139
1897.42083,98.138
1895.38059,98.131
1893.34035,98.128
1891.30011,98.127
1889.25988,98.125
1887.21964,98.135
1885.1794,98.148
1883.13916,98.15
1881.09893,98.139
1879.05869,98.125
1877.01845,98.129
1874.97821,98.148
1872.93798,98.154
1870.89774,98.129
1868.8575,98.086
1866.81726,98.071
1864.77703,98.096
1862.73679,98.126
1860.69655,98.134
1858.65631,98.129
1856.61608,98.128
1854.57584,98.127
1852.5356,98.119
1850.49536,98.103
1848.45513,98.085
1846.41489,98.076
1844.37465,98.077
1842.33441,98.088
1840.29418,98.102
1838.25394,98.113
1836.2137,98.121
1834.17346,98.132
1832.13323,98.14
1830.09299,98.131
1828.05275,98.105
1826.01251,98.083
1823.97228,98.077
1821.93204,98.088
1819.8918,98.092
1817.85156,98.086
1815.81133,98.081
1813.77109,98.075
1811.73085,98.058
1809.69061,98.048
1807.65038,98.058
1805.61014,98.068
1803.5699,98.05
1801.52967,98.023
1799.48943,98.03
1797.44919,98.059
1795.40895,98.081
1793.36872,98.079
1791.32848,98.059
1789.28824,98.056
1787.248,98.068
1785.20777,98.068
1783.16753,98.062
1781.12729,98.045
1779.08705,98.013
1777.04682,97.996
1775.00658,98.005
1772.96634,98.016
1770.9261,98.009
1768.88587,98.003
1766.84563,98.018
1764.80539,98.039
1762.76515,98.043
1760.72492,98.025
1758.68468,98.002
1756.64444,97.99
1754.6042,97.991
1752.56397,97.972
1750.52373,97.916
1748.48349,97.865
1746.44325,97.846
1744.40302,97.86
1742.36278,97.907
1740.32254,97.961
1738.2823,97.999
1736.24207,98.011
1734.20183,97.983
1732.16159,97.951
1730.12135,97.962
1728.08112,97.996
1726.04088,98.026
1724.00064,98.044
1721.9604,98.055
1719.92017,98.045
1717.87993,97.987
1715.83969,97.938
1713.79945,97.959
1711.75922,98.004
1709.71898,98.033
1707.67874,98.041
1705.63851,98.029
1703.59827,98.013
1701.55803,98
1699.51779,97.984
1697.47756,97.991
1695.43732,98.02
1693.39708,98.031
1691.35684,98.011
1689.31661,97.992
1687.27637,98.003
1685.23613,98.004
1683.19589,97.945
1681.15566,97.909
1679.11542,97.946
1677.07518,98.008
1675.03494,98.046
1672.99471,98.063
1670.95447,98.057
1668.91423,98.018
1666.87399,97.998
1664.83376,98.013
1662.79352,98.021
1660.75328,98.013
1658.71304,98.008
1656.67281,98.006
1654.63257,97.996
1652.59233,97.992
1650.55209,98.015
1648.51186,98.029
1646.47162,98.014
1644.43138,98.011
1642.39114,98.034
1640.35091,98.054
1638.31067,98.06
1636.27043,98.048
1634.23019,98.035
1632.18996,98.05
1630.14972,98.075
1628.10948,98.087
1626.06924,98.081
1624.02901,98.058
1621.98877,98.04
1619.94853,98.059
1617.90829,98.088
1615.86806,98.074
1613.82782,98.033
1611.78758,98.01
1609.74735,98
1607.70711,97.986
1605.66687,97.984
1603.62663,97.993
1601.5864,97.996
1599.54616,97.994
1597.50592,97.985
1595.46568,97.973
1593.42545,97.968
1591.38521,97.962
1589.34497,97.944
1587.30473,97.932
1585.2645,97.938
1583.22426,97.95
1581.18402,97.957
1579.14378,97.962
1577.10355,97.96
1575.06331,97.951
1573.02307,97.955
1570.98283,97.954
1568.9426,97.925
1566.90236,97.893
1564.86212,97.889
1562.82188,97.911
1560.78165,97.936
1558.74141,97.901
1556.70117,97.822
1554.66093,97.787
1552.6207,97.778
1550.58046,97.767
1548.54022,97.77
1546.49998,97.773
1544.45975,97.771
1542.41951,97.809
1540.37927,97.868
1538.33903,97.891
1536.2988,97.888
1534.25856,97.876
1532.21832,97.855
1530.17808,97.833
1528.13785,97.809
1526.09761,97.795
1524.05737,97.816
1522.01713,97.842
1519.9769,97.828
1517.93666,97.799
1515.89642,97.794
1513.85619,97.81
1511.81595,97.79
1509.77571,97.724
1507.73547,97.698
1505.69524,97.789
1503.655,97.885
1501.61476,97.922
1499.57452,97.934
1497.53429,97.957
1495.49405,97.992
1493.45381,98.004
1491.41357,97.967
1489.37334,97.937
1487.3331,97.982
1485.29286,98.06
