TITLE SAMPLE NAME:,PP_CHOCO_AMUL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.979
LASTX:,599.82981
LASTY:,100.1
NPOINTS:,1681
1426.12597,98.79
1424.08574,98.788
1422.0455,98.815
1420.00526,98.843
1417.96503,98.834
1415.92479,98.823
1413.88455,98.838
1411.84431,98.865
1409.80408,98.89
1407.76384,98.904
1405.7236,98.915
1403.68336,98.94
1401.64313,98.968
1399.60289,98.972
1397.56265,98.955
1395.52241,98.937
1393.48218,98.934
1391.44194,98.955
1389.4017,98.983
1387.36146,98.997
1385.32123,98.99
1383.28099,98.926
1381.24075,98.743
1379.20051,98.436
1377.16028,98.109
1375.12004,97.92
1373.0798,97.959
1371.03956,98.152
1368.99933,98.377
1366.95909,98.543
1364.91885,98.601
1362.87861,98.586
1360.83838,98.577
1358.79814,98.588
1356.7579,98.598
1354.71766,98.621
1352.67743,98.67
