TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
1585.26450,98.386
1583.22426,98.416
1581.18402,98.507
1579.14378,98.475
1577.10355,98.244
1575.06331,98.331
1573.02307,98.611
1570.98283,98.459
1568.94260,98.291
1566.90236,98.437
1564.86212,98.650
1562.82188,98.772
1560.78165,98.377
1558.74141,97.943
1556.70117,98.317
1554.66093,98.568
1552.62070,98.488
1550.58046,98.368
1548.54022,98.399
1546.49998,98.462
1544.45975,98.398
1542.41951,98.219
1540.37927,98.021
1538.33903,98.367
1536.29880,98.650
1534.25856,98.380
1532.21832,98.290
1530.17808,98.460
1528.13785,98.417
1526.09761,98.359
1524.05737,98.346
1522.01713,98.247
1519.97690,98.340
1517.93666,98.380
1515.89642,98.342
1513.85619,98.469
1511.81595,98.546
1509.77571,98.297
1507.73547,97.797
1505.69524,97.952
1503.65500,98.548
1501.61476,98.685
1499.57452,98.458
1497.53429,98.314
1495.49405,98.484
1493.45381,98.645
1491.41357,98.408
