TITLE SAMPLE NAME:,HDPE_COKE_CAP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3594.89838,98.158
3592.85814,98.246
3590.81791,98.288
3588.77767,98.108
3586.73743,98.04
3584.69719,98.222
3582.65696,98.332
3580.61672,98.323
3578.57648,98.315
3576.53624,98.32
3574.49601,98.347
3572.45577,98.401
3570.41553,98.335
3568.37529,98.084
3566.33506,97.963
3564.29482,98.101
3562.25458,98.217
3560.21434,98.26
3558.17411,98.328
3556.13387,98.368
3554.09363,98.316
3552.05339,98.271
3550.01316,98.273
3547.97292,98.208
3545.93268,98.142
3543.89244,98.216
3541.85221,98.343
3539.81197,98.392
3537.77173,98.352
3535.73149,98.317
3533.69126,98.325
3531.65102,98.314
3529.61078,98.27
3527.57054,98.24
3525.53031,98.243
3523.49007,98.278
3521.44983,98.343
3519.40959,98.368
3517.36936,98.35
3515.32912,98.345
3513.28888,98.346
3511.24865,98.335
3509.20841,98.346
3507.16817,98.381
3505.12793,98.329
3503.0877,98.267
3501.04746,98.33
3499.00722,98.389
3496.96698,98.378
3494.92675,98.393
3492.88651,98.424
3490.84627,98.402
3488.80603,98.37
3486.7658,98.419
3484.72556,98.479
3482.68532,98.445
3480.64508,98.413
3478.60485,98.429
3476.56461,98.426
3474.52437,98.413
3472.48413,98.419
3470.4439,98.436
3468.40366,98.446
3466.36342,98.456
3464.32318,98.461
3462.28295,98.45
3460.24271,98.449
3458.20247,98.449
3456.16223,98.446
3454.122,98.47
3452.08176,98.523
3450.04152,98.54
3448.00128,98.489
3445.96105,98.491
3443.92081,98.539
3441.88057,98.56
3439.84033,98.589
3437.8001,98.576
3435.75986,98.522
3433.71962,98.512
3431.67938,98.537
3429.63915,98.539
3427.59891,98.535
3425.55867,98.546
3423.51843,98.538
3421.4782,98.52
3419.43796,98.534
3417.39772,98.545
3415.35749,98.535
3413.31725,98.543
3411.27701,98.574
3409.23677,98.601
3407.19654,98.615
3405.1563,98.636
3403.11606,98.651
3401.07582,98.648
3399.03559,98.622
3396.99535,98.595
3394.95511,98.562
3392.91487,98.558
3390.87464,98.619
3388.8344,98.674
3386.79416,98.665
3384.75392,98.637
3382.71369,98.647
3380.67345,98.669
3378.63321,98.662
3376.59297,98.642
3374.55274,98.635
3372.5125,98.649
3370.47226,98.683
3368.43202,98.701
3366.39179,98.686
3364.35155,98.668
3362.31131,98.66
3360.27107,98.678
3358.23084,98.708
3356.1906,98.728
3354.15036,98.729
3352.11012,98.719
3350.06989,98.721
3348.02965,98.729
3345.98941,98.737
3343.94917,98.744
3341.90894,98.751
3339.8687,98.756
3337.82846,98.747
3335.78822,98.724
3333.74799,98.714
3331.70775,98.73
3329.66751,98.738
3327.62727,98.724
3325.58704,98.717
3323.5468,98.729
3321.50656,98.747
3319.46633,98.762
3317.42609,98.757
3315.38585,98.726
3313.34561,98.707
3311.30538,98.718
3309.26514,98.739
3307.2249,98.749
3305.18466,98.721
3303.14443,98.673
3301.10419,98.663
3299.06395,98.695
3297.02371,98.725
3294.98348,98.745
3292.94324,98.755
3290.903,98.754
3288.86276,98.755
3286.82253,98.747
3284.78229,98.724
3282.74205,98.719
3280.70181,98.749
3278.66158,98.769
3276.62134,98.76
3274.5811,98.742
3272.54086,98.739
3270.50063,98.756
3268.46039,98.768
3266.42015,98.763
3264.37991,98.749
3262.33968,98.725
3260.29944,98.695
3258.2592,98.675
3256.21896,98.668
3254.17873,98.682
3252.13849,98.718
3250.09825,98.736
3248.05801,98.716
3246.01778,98.683
3243.97754,98.677
3241.9373,98.694
3239.89706,98.704
3237.85683,98.693
3235.81659,98.66
3233.77635,98.631
3231.73611,98.638
3229.69588,98.657
3227.65564,98.652
3225.6154,98.647
3223.57517,98.659
3221.53493,98.666
3219.49469,98.662
3217.45445,98.656
3215.41422,98.642
3213.37398,98.634
3211.33374,98.632
3209.2935,98.634
3207.25327,98.65
3205.21303,98.65
3203.17279,98.625
3201.13255,98.604
3199.09232,98.599
3197.05208,98.614
3195.01184,98.636
3192.9716,98.64
3190.93137,98.627
3188.89113,98.61
3186.85089,98.599
3184.81065,98.599
3182.77042,98.607
3180.73018,98.605
3178.68994,98.596
3176.6497,98.598
3174.60947,98.6
3172.56923,98.592
3170.52899,98.581
3168.48875,98.57
3166.44852,98.576
3164.40828,98.592
3162.36804,98.599
3160.3278,98.598
3158.28757,98.588
3156.24733,98.569
3154.20709,98.563
3152.16685,98.575
3150.12662,98.582
3148.08638,98.581
3146.04614,98.578
3144.0059,98.556
3141.96567,98.522
3139.92543,98.523
3137.88519,98.56
3135.84495,98.578
