TITLE SAMPLE NAME:,PP_BOX_BLACK
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.613
LASTX:,599.82981
LASTY:,98.846
NPOINTS:,1681
2081.0422,98.481
2079.00196,98.493
2076.96172,98.521
2074.92148,98.526
2072.88125,98.499
2070.84101,98.464
2068.80077,98.439
2066.76053,98.445
2064.7203,98.461
2062.68006,98.45
2060.63982,98.442
2058.59958,98.456
2056.55935,98.477
2054.51911,98.481
2052.47887,98.469
2050.43863,98.46
2048.3984,98.459
2046.35816,98.46
2044.31792,98.464
2042.27768,98.474
2040.23745,98.47
2038.19721,98.452
2036.15697,98.453
2034.11673,98.466
2032.0765,98.473
2030.03626,98.477
2027.99602,98.486
2025.95578,98.498
2023.91555,98.502
2021.87531,98.488
2019.83507,98.471
2017.79483,98.473
2015.7546,98.462
2013.71436,98.453
2011.67412,98.471
2009.63388,98.483
2007.59365,98.489
2005.55341,98.498
2003.51317,98.498
2001.47293,98.492
1999.4327,98.487
1997.39246,98.458
1995.35222,98.421
1993.31199,98.435
1991.27175,98.43
1989.23151,98.388
1987.19127,98.388
1985.15104,98.418
1983.1108,98.445
1981.07056,98.45
1979.03032,98.445
1976.99009,98.446
1974.94985,98.447
1972.90961,98.44
1970.86937,98.425
1968.82914,98.436
1966.7889,98.449
1964.74866,98.433
1962.70842,98.45
1960.66819,98.468
1958.62795,98.448
1956.58771,98.441
1954.54747,98.45
1952.50724,98.445
1950.467,98.425
1948.42676,98.404
1946.38652,98.397
1944.34629,98.445
1942.30605,98.466
1940.26581,98.4
1938.22557,98.392
1936.18534,98.43
1934.1451,98.437
1932.10486,98.437
1930.06462,98.442
1928.02439,98.423
1925.98415,98.401
1923.94391,98.416
1921.90367,98.388
1919.86344,98.403
1917.8232,98.466
1915.78296,98.402
1913.74272,98.364
1911.70249,98.413
1909.66225,98.444
1907.62201,98.413
1905.58177,98.393
1903.54154,98.407
1901.5013,98.405
1899.46106,98.395
1897.42083,98.418
1895.38059,98.437
1893.34035,98.402
1891.30011,98.423
1889.25988,98.46
1887.21964,98.411
1885.1794,98.406
1883.13916,98.437
1881.09893,98.431
1879.05869,98.411
1877.01845,98.401
1874.97821,98.384
1872.93798,98.353
1870.89774,98.403
1868.8575,98.465
1866.81726,98.379
1864.77703,98.302
1862.73679,98.342
1860.69655,98.397
1858.65631,98.417
1856.61608,98.42
1854.57584,98.419
1852.5356,98.405
1850.49536,98.375
1848.45513,98.347
1846.41489,98.414
1844.37465,98.511
1842.33441,98.401
1840.29418,98.294
1838.25394,98.353
1836.2137,98.385
1834.17346,98.343
1832.13323,98.391
1830.09299,98.463
1828.05275,98.381
1826.01251,98.349
1823.97228,98.359
1821.93204,98.322
1819.8918,98.346
1817.85156,98.378
1815.81133,98.348
1813.77109,98.335
1811.73085,98.389
1809.69061,98.39
1807.65038,98.319
1805.61014,98.265
1803.5699,98.278
1801.52967,98.336
1799.48943,98.323
1797.44919,98.242
1795.40895,98.272
1793.36872,98.45
1791.32848,98.445
1789.28824,98.243
1787.248,98.216
1785.20777,98.302
1783.16753,98.328
1781.12729,98.336
1779.08705,98.264
1777.04682,98.166
1775.00658,98.253
1772.96634,98.448
1770.9261,98.401
1768.88587,98.252
1766.84563,98.192
1764.80539,98.22
1762.76515,98.357
1760.72492,98.348
1758.68468,98.27
1756.64444,98.236
1754.6042,98.139
1752.56397,98.188
1750.52373,98.301
1748.48349,98.235
1746.44325,98.114
1744.40302,98.091
1742.36278,98.174
1740.32254,98.22
1738.2823,98.083
1736.24207,98.165
1734.20183,98.44
1732.16159,98.291
1730.12135,98.114
1728.08112,98.121
1726.04088,98.168
1724.00064,98.176
1721.9604,98.108
1719.92017,98.242
1717.87993,98.464
1715.83969,98.308
1713.79945,98.049
1711.75922,97.974
1709.71898,98.049
1707.67874,98.196
1705.63851,98.193
1703.59827,98.039
1701.55803,98.19
1699.51779,98.305
1697.47756,98.266
1695.43732,98.3
1693.39708,98.113
1691.35684,98.029
1689.31661,98.029
1687.27637,98.113
1685.23613,98.483
1683.19589,98.438
1681.15566,98.009
1679.11542,97.92
1677.07518,98.166
1675.03494,98.303
1672.99471,98.19
1670.95447,98.295
1668.91423,98.34
1666.87399,98.09
1664.83376,98.135
1662.79352,98.373
1660.75328,98.273
1658.71304,98.022
1656.67281,98.091
1654.63257,98.613
1652.59233,98.646
1650.55209,98.039
1648.51186,98.126
1646.47162,98.466
1644.43138,98.25
1642.39114,98.024
1640.35091,98.041
1638.31067,98.291
1636.27043,98.626
1634.23019,98.44
1632.18996,98.098
1630.14972,98.152
1628.10948,98.301
1626.06924,98.334
1624.02901,98.384
1621.98877,98.251
1619.94853,98.157
1617.90829,98.442
1615.86806,98.522
1613.82782,98.25
1611.78758,98.189
1609.74735,98.287
1607.70711,98.301
1605.66687,98.262
1603.62663,98.257
1601.5864,98.247
1599.54616,98.216
1597.50592,98.221
1595.46568,98.256
1593.42545,98.257
1591.38521,98.235
1589.34497,98.224
1587.30473,98.224
1585.2645,98.231
1583.22426,98.204
1581.18402,98.12
1579.14378,98.176
1577.10355,98.416
1575.06331,98.301
1573.02307,98.028
1570.98283,98.218
1568.9426,98.359
1566.90236,98.146
1564.86212,97.936
1562.82188,97.922
1560.78165,98.452
1558.74141,98.848
1556.70117,98.262
1554.66093,97.911
1552.6207,97.974
1550.58046,98.05
1548.54022,97.963
1546.49998,97.866
1544.45975,97.962
1542.41951,98.28
1540.37927,98.587
1538.33903,98.189
1536.2988,97.834
1534.25856,98.053
1532.21832,98.091
1530.17808,97.891
1528.13785,97.907
1526.09761,97.941
1524.05737,98.005
1522.01713,98.197
1519.9769,98.121
1517.93666,98.019
1515.89642,98.002
1513.85619,97.867
1511.81595,97.751
1509.77571,97.895
1507.73547,98.362
1505.69524,98.343
1503.655,97.892
1501.61476,97.84
1499.57452,98.124
1497.53429,98.294
1495.49405,98.111
1493.45381,97.898
1491.41357,98.04
1489.37334,98.241
1487.3331,98.187
1485.29286,98.088
