TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
1962.70842,97.495
1960.66819,97.496
1958.62795,97.476
1956.58771,97.452
1954.54747,97.442
1952.50724,97.444
1950.467,97.444
1948.42676,97.441
1946.38652,97.437
1944.34629,97.426
1942.30605,97.415
1940.26581,97.423
1938.22557,97.438
1936.18534,97.435
1934.1451,97.422
1932.10486,97.426
1930.06462,97.44
1928.02439,97.441
1925.98415,97.42
1923.94391,97.39
1921.90367,97.386
1919.86344,97.405
1917.8232,97.403
1915.78296,97.386
1913.74272,97.383
1911.70249,97.388
1909.66225,97.381
1907.62201,97.368
1905.58177,97.371
1903.54154,97.388
1901.5013,97.402
1899.46106,97.409
1897.42083,97.41
1895.38059,97.399
1893.34035,97.39
1891.30011,97.392
1889.25988,97.395
1887.21964,97.404
1885.1794,97.42
1883.13916,97.426
1881.09893,97.415
1879.05869,97.4
1877.01845,97.404
1874.97821,97.419
1872.93798,97.411
1870.89774,97.371
1868.8575,97.335
1866.81726,97.337
1864.77703,97.357
1862.73679,97.366
1860.69655,97.369
1858.65631,97.373
1856.61608,97.374
1854.57584,97.375
1852.5356,97.378
1850.49536,97.373
1848.45513,97.361
1846.41489,97.355
1844.37465,97.353
1842.33441,97.355
1840.29418,97.364
1838.25394,97.371
1836.2137,97.375
1834.17346,97.385
1832.13323,97.391
1830.09299,97.376
1828.05275,97.352
1826.01251,97.337
1823.97228,97.331
1821.93204,97.333
1819.8918,97.337
1817.85156,97.336
1815.81133,97.336
1813.77109,97.33
1811.73085,97.316
1809.69061,97.311
1807.65038,97.327
1805.61014,97.34
1803.5699,97.32
1801.52967,97.287
1799.48943,97.289
1797.44919,97.313
1795.40895,97.322
1793.36872,97.306
1791.32848,97.284
1789.28824,97.284
1787.248,97.297
1785.20777,97.305
1783.16753,97.309
1781.12729,97.302
1779.08705,97.284
1777.04682,97.275
1775.00658,97.276
1772.96634,97.274
1770.9261,97.269
1768.88587,97.268
1766.84563,97.269
1764.80539,97.267
1762.76515,97.263
1760.72492,97.258
1758.68468,97.25
1756.64444,97.241
1754.6042,97.23
1752.56397,97.199
1750.52373,97.154
1748.48349,97.134
1746.44325,97.135
1744.40302,97.138
1742.36278,97.159
1740.32254,97.196
1738.2823,97.229
1736.24207,97.242
1734.20183,97.219
1732.16159,97.191
1730.12135,97.193
1728.08112,97.213
1726.04088,97.234
1724.00064,97.252
1721.9604,97.265
1719.92017,97.256
1717.87993,97.199
1715.83969,97.146
1713.79945,97.165
1711.75922,97.214
1709.71898,97.246
1707.67874,97.252
1705.63851,97.234
1703.59827,97.217
1701.55803,97.215
1699.51779,97.207
1697.47756,97.188
1695.43732,97.185
1693.39708,97.193
1691.35684,97.188
1689.31661,97.177
1687.27637,97.188
1685.23613,97.19
1683.19589,97.139
1681.15566,97.108
1679.11542,97.146
1677.07518,97.21
1675.03494,97.255
1672.99471,97.275
1670.95447,97.268
1668.91423,97.225
1666.87399,97.191
1664.83376,97.195
1662.79352,97.21
1660.75328,97.213
1658.71304,97.212
1656.67281,97.225
1654.63257,97.253
1652.59233,97.266
1650.55209,97.261
1648.51186,97.239
1646.47162,97.199
1644.43138,97.182
1642.39114,97.207
1640.35091,97.241
1638.31067,97.258
1636.27043,97.255
1634.23019,97.244
1632.18996,97.246
1630.14972,97.256
1628.10948,97.262
1626.06924,97.261
1624.02901,97.242
1621.98877,97.22
1619.94853,97.23
1617.90829,97.258
1615.86806,97.257
1613.82782,97.233
1611.78758,97.214
1609.74735,97.206
1607.70711,97.206
1605.66687,97.203
1603.62663,97.195
1601.5864,97.198
1599.54616,97.205
1597.50592,97.202
1595.46568,97.194
1593.42545,97.19
1591.38521,97.182
1589.34497,97.172
1587.30473,97.168
1585.2645,97.162
1583.22426,97.147
1581.18402,97.136
1579.14378,97.144
1577.10355,97.156
1575.06331,97.153
1573.02307,97.149
1570.98283,97.156
1568.9426,97.157
1566.90236,97.146
1564.86212,97.144
1562.82188,97.168
1560.78165,97.207
1558.74141,97.21
1556.70117,97.16
1554.66093,97.118
1552.6207,97.088
1550.58046,97.055
1548.54022,97.035
1546.49998,97.023
1544.45975,97.026
1542.41951,97.085
1540.37927,97.163
1538.33903,97.169
1536.2988,97.125
1534.25856,97.075
1532.21832,97.037
1530.17808,97.011
1528.13785,96.987
1526.09761,96.977
1524.05737,96.999
1522.01713,97.025
1519.9769,97.015
1517.93666,96.987
1515.89642,96.989
1513.85619,97.019
1511.81595,97.005
1509.77571,96.927
1507.73547,96.884
1505.69524,96.976
1503.655,97.087
1501.61476,97.131
1499.57452,97.132
1497.53429,97.133
1495.49405,97.15
1493.45381,97.157
1491.41357,97.138
1489.37334,97.134
1487.3331,97.189
1485.29286,97.268
1483.25262,97.328
