TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
1879.05869,99.367
1877.01845,99.358
1874.97821,99.329
1872.93798,99.287
1870.89774,99.336
1868.8575,99.406
1866.81726,99.33
1864.77703,99.255
1862.73679,99.296
1860.69655,99.357
1858.65631,99.381
1856.61608,99.387
1854.57584,99.389
1852.5356,99.375
1850.49536,99.336
1848.45513,99.284
1846.41489,99.323
1844.37465,99.422
1842.33441,99.341
1840.29418,99.256
1838.25394,99.316
1836.2137,99.345
1834.17346,99.312
1832.13323,99.37
1830.09299,99.44
1828.05275,99.348
1826.01251,99.311
1823.97228,99.328
1821.93204,99.301
1819.8918,99.328
1817.85156,99.36
1815.81133,99.329
1813.77109,99.315
1811.73085,99.372
1809.69061,99.392
1807.65038,99.347
1805.61014,99.303
1803.5699,99.306
1801.52967,99.354
1799.48943,99.339
1797.44919,99.262
1795.40895,99.29
1793.36872,99.466
1791.32848,99.474
1789.28824,99.296
1787.248,99.285
1785.20777,99.378
1783.16753,99.412
1781.12729,99.422
1779.08705,99.342
1777.04682,99.235
1775.00658,99.321
1772.96634,99.527
1770.9261,99.495
1768.88587,99.359
1766.84563,99.302
1764.80539,99.327
1762.76515,99.472
1760.72492,99.482
1758.68468,99.42
1756.64444,99.392
1754.6042,99.29
1752.56397,99.319
1750.52373,99.408
1748.48349,99.317
1746.44325,99.16
1744.40302,99.068
1742.36278,99.051
1740.32254,98.986
1738.2823,98.734
1736.24207,98.68
1734.20183,98.771
1732.16159,98.437
1730.12135,98.121
1728.08112,98.017
1726.04088,97.953
1724.00064,97.827
1721.9604,97.59
1719.92017,97.526
1717.87993,97.552
1715.83969,97.267
1713.79945,96.946
1711.75922,96.839
1709.71898,96.902
1707.67874,97.06
1705.63851,97.117
1703.59827,97.062
1701.55803,97.305
1699.51779,97.506
1697.47756,97.572
1695.43732,97.741
1693.39708,97.676
1691.35684,97.676
1689.31661,97.746
1687.27637,97.876
1685.23613,98.27
1683.19589,98.28
1681.15566,97.926
1679.11542,97.89
1677.07518,98.169
1675.03494,98.328
1672.99471,98.236
1670.95447,98.379
1668.91423,98.503
1666.87399,98.331
1664.83376,98.407
1662.79352,98.655
1660.75328,98.582
1658.71304,98.363
1656.67281,98.444
1654.63257,98.985
1652.59233,99.059
