TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
2921.65096,0.00555
2919.61070,0.00537
2917.57044,0.00524
2915.53018,0.00516
2913.48992,0.00514
2911.44966,0.00519
2909.40940,0.00524
2907.36914,0.00523
2905.32888,0.00516
2903.28862,0.00508
2901.24836,0.00506
2899.20811,0.00512
2897.16785,0.00521
2895.12759,0.00524
2893.08733,0.00529
2891.04707,0.00534
2889.00681,0.00535
2886.96655,0.00538
2884.92629,0.00543
2882.88603,0.00543
2880.84577,0.00543
2878.80552,0.00547
2876.76526,0.00558
2874.72500,0.00566
2872.68474,0.00565
2870.64448,0.00558
2868.60422,0.00551
2866.56396,0.00556
2864.52370,0.00572
2862.48344,0.00592
2860.44318,0.00612
2858.40292,0.00620
2856.36267,0.00618
2854.32241,0.00613
2852.28215,0.00607
2850.24189,0.00607
2848.20163,0.00620
2846.16137,0.00633
2844.12111,0.00633
2842.08085,0.00630
2840.04059,0.00631
2838.00033,0.00633
2835.96008,0.00632
2833.91982,0.00625
2831.87956,0.00617
2829.83930,0.00619
2827.79904,0.00627
2825.75878,0.00633
2823.71852,0.00644
2821.67826,0.00658
2819.63800,0.00659
2817.59774,0.00649
2815.55748,0.00641
2813.51723,0.00639
2811.47697,0.00638
2809.43671,0.00638
2807.39645,0.00633
2805.35619,0.00632
2803.31593,0.00635
2801.27567,0.00642
2799.23541,0.00651
2797.19515,0.00657
2795.15489,0.00659
2793.11464,0.00655
2791.07438,0.00652
2789.03412,0.00651
2786.99386,0.00648
2784.95360,0.00643
2782.91334,0.00637
2780.87308,0.00638
2778.83282,0.00647
2776.79256,0.00656
2774.75230,0.00658
2772.71204,0.00660
2770.67179,0.00663
2768.63153,0.00662
2766.59127,0.00658
2764.55101,0.00658
2762.51075,0.00655
2760.47049,0.00650
2758.43023,0.00652
2756.38997,0.00663
