TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
2079.00196,98.591
2076.96172,98.617
2074.92148,98.626
2072.88125,98.609
2070.84101,98.592
2068.80077,98.584
2066.76053,98.576
2064.7203,98.56
2062.68006,98.546
2060.63982,98.547
2058.59958,98.563
2056.55935,98.586
2054.51911,98.591
2052.47887,98.584
2050.43863,98.587
2048.3984,98.589
2046.35816,98.58
2044.31792,98.568
2042.27768,98.561
2040.23745,98.565
2038.19721,98.569
2036.15697,98.569
2034.11673,98.576
2032.0765,98.58
2030.03626,98.58
2027.99602,98.581
2025.95578,98.584
2023.91555,98.584
2021.87531,98.574
2019.83507,98.553
2017.79483,98.533
2015.7546,98.538
2013.71436,98.564
2011.67412,98.586
2009.63388,98.599
2007.59365,98.607
2005.55341,98.607
2003.51317,98.597
2001.47293,98.584
1999.4327,98.578
1997.39246,98.572
1995.35222,98.552
1993.31199,98.518
1991.27175,98.493
1989.23151,98.493
1987.19127,98.516
1985.15104,98.541
1983.1108,98.543
1981.07056,98.536
1979.03032,98.543
1976.99009,98.561
1974.94985,98.572
1972.90961,98.577
1970.86937,98.572
1968.82914,98.545
1966.7889,98.528
1964.74866,98.551
1962.70842,98.577
1960.66819,98.577
1958.62795,98.557
1956.58771,98.533
1954.54747,98.521
1952.50724,98.527
1950.467,98.529
1948.42676,98.513
1946.38652,98.495
1944.34629,98.482
1942.30605,98.483
1940.26581,98.512
1938.22557,98.536
1936.18534,98.524
1934.1451,98.507
1932.10486,98.512
1930.06462,98.526
1928.02439,98.529
1925.98415,98.511
1923.94391,98.479
1921.90367,98.473
1919.86344,98.491
1917.8232,98.488
1915.78296,98.481
1913.74272,98.498
1911.70249,98.511
1909.66225,98.497
1907.62201,98.482
1905.58177,98.488
1903.54154,98.501
1901.5013,98.505
1899.46106,98.501
1897.42083,98.492
1895.38059,98.482
1893.34035,98.481
1891.30011,98.483
1889.25988,98.478
1887.21964,98.482
