TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
2125.92742,98.723
2123.88718,98.705
2121.84694,98.7
2119.80671,98.7
2117.76647,98.699
2115.72623,98.71
2113.68599,98.726
2111.64576,98.726
2109.60552,98.711
2107.56528,98.703
2105.52504,98.702
2103.48481,98.707
2101.44457,98.715
2099.40433,98.714
2097.36409,98.713
2095.32386,98.72
2093.28362,98.719
2091.24338,98.706
2089.20315,98.692
2087.16291,98.685
2085.12267,98.686
2083.08243,98.685
2081.0422,98.683
2079.00196,98.709
2076.96172,98.755
2074.92148,98.772
2072.88125,98.742
2070.84101,98.702
2068.80077,98.687
2066.76053,98.692
2064.7203,98.696
2062.68006,98.687
2060.63982,98.677
2058.59958,98.683
2056.55935,98.694
2054.51911,98.693
2052.47887,98.691
2050.43863,98.696
2048.3984,98.703
2046.35816,98.711
2044.31792,98.72
2042.27768,98.716
2040.23745,98.701
2038.19721,98.687
2036.15697,98.684
2034.11673,98.693
2032.0765,98.699
2030.03626,98.703
2027.99602,98.717
2025.95578,98.732
2023.91555,98.73
2021.87531,98.704
2019.83507,98.677
2017.79483,98.679
2015.7546,98.704
2013.71436,98.718
2011.67412,98.71
2009.63388,98.704
2007.59365,98.71
2005.55341,98.724
2003.51317,98.73
2001.47293,98.717
1999.4327,98.693
1997.39246,98.679
1995.35222,98.665
1993.31199,98.641
1991.27175,98.623
1989.23151,98.628
1987.19127,98.65
1985.15104,98.668
1983.1108,98.669
1981.07056,98.663
1979.03032,98.667
1976.99009,98.673
1974.94985,98.668
1972.90961,98.659
1970.86937,98.657
1968.82914,98.656
1966.7889,98.664
1964.74866,98.683
1962.70842,98.689
1960.66819,98.682
1958.62795,98.671
1956.58771,98.66
1954.54747,98.664
1952.50724,98.672
1950.467,98.656
1948.42676,98.631
1946.38652,98.633
1944.34629,98.65
1942.30605,98.654
1940.26581,98.66
1938.22557,98.679
1936.18534,98.68
1934.1451,98.667
1932.10486,98.661
1930.06462,98.658
1928.02439,98.651
1925.98415,98.641
1923.94391,98.632
1921.90367,98.632
1919.86344,98.636
1917.8232,98.634
1915.78296,98.638
1913.74272,98.643
1911.70249,98.638
1909.66225,98.62
1907.62201,98.604
1905.58177,98.606
1903.54154,98.619
1901.5013,98.628
1899.46106,98.634
1897.42083,98.644
1895.38059,98.654
1893.34035,98.661
1891.30011,98.658
1889.25988,98.65
1887.21964,98.655
1885.1794,98.667
1883.13916,98.669
1881.09893,98.658
1879.05869,98.645
1877.01845,98.648
1874.97821,98.665
1872.93798,98.666
1870.89774,98.636
1868.8575,98.602
1866.81726,98.601
1864.77703,98.622
1862.73679,98.641
1860.69655,98.651
1858.65631,98.65
1856.61608,98.643
1854.57584,98.631
1852.5356,98.618
1850.49536,98.602
1848.45513,98.587
1846.41489,98.585
1844.37465,98.595
1842.33441,98.607
1840.29418,98.619
1838.25394,98.628
1836.2137,98.634
1834.17346,98.638
1832.13323,98.64
1830.09299,98.639
1828.05275,98.636
1826.01251,98.631
1823.97228,98.625
1821.93204,98.615
1819.8918,98.598
1817.85156,98.576
1815.81133,98.559
1813.77109,98.544
1811.73085,98.535
1809.69061,98.547
1807.65038,98.57
1805.61014,98.573
1803.5699,98.548
1801.52967,98.526
1799.48943,98.544
1797.44919,98.577
1795.40895,98.593
1793.36872,98.586
1791.32848,98.57
1789.28824,98.565
1787.248,98.57
1785.20777,98.569
1783.16753,98.569
1781.12729,98.57
1779.08705,98.563
