TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
1617.90829,97.257
1615.86806,97.171
1613.82782,97.36
1611.78758,97.358
1609.74735,97.237
1607.70711,97.212
1605.66687,97.235
1603.62663,97.219
1601.5864,97.215
1599.54616,97.253
1597.50592,97.267
1595.46568,97.247
1593.42545,97.237
1591.38521,97.233
1589.34497,97.224
1587.30473,97.221
1585.2645,97.219
1583.22426,97.247
1581.18402,97.329
1579.14378,97.297
1577.10355,97.085
1575.06331,97.18
1573.02307,97.436
1570.98283,97.276
1568.9426,97.134
1566.90236,97.284
1564.86212,97.45
1562.82188,97.507
1560.78165,97.116
1558.74141,96.778
1556.70117,97.196
1554.66093,97.409
1552.6207,97.299
1550.58046,97.186
1548.54022,97.22
1546.49998,97.255
1544.45975,97.179
1542.41951,97.048
1540.37927,96.915
1538.33903,97.256
1536.2988,97.492
1534.25856,97.203
1532.21832,97.106
1530.17808,97.245
1528.13785,97.177
1526.09761,97.145
1524.05737,97.182
1522.01713,97.098
1519.9769,97.148
1517.93666,97.145
1515.89642,97.11
1513.85619,97.249
1511.81595,97.314
1509.77571,97.06
1507.73547,96.615
1505.69524,96.828
1503.655,97.386
1501.61476,97.459
1499.57452,97.215
1497.53429,97.077
1495.49405,97.227
1493.45381,97.353
1491.41357,97.107
1489.37334,96.884
1487.3331,97.047
1485.29286,97.257
