TITLE SAMPLE NAME:,PP_PLASTIC_BOX_PARCEL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.359
LASTX:,599.82981
LASTY:,96.005
NPOINTS:,1681
3596.93862,98.224
3594.89838,98.234
3592.85814,98.269
3590.81791,98.296
3588.77767,98.259
3586.73743,98.182
3584.69719,98.166
3582.65696,98.22
3580.61672,98.28
3578.57648,98.315
3576.53624,98.321
3574.49601,98.312
3572.45577,98.304
3570.41553,98.289
3568.37529,98.225
3566.33506,98.138
3564.29482,98.114
3562.25458,98.15
3560.21434,98.19
3558.17411,98.233
3556.13387,98.276
3554.09363,98.287
3552.05339,98.266
3550.01316,98.26
3547.97292,98.273
3545.93268,98.274
3543.89244,98.258
3541.85221,98.25
3539.81197,98.25
3537.77173,98.236
3535.73149,98.217
3533.69126,98.216
3531.65102,98.233
3529.61078,98.259
3527.57054,98.272
3525.53031,98.261
3523.49007,98.253
3521.44983,98.262
3519.40959,98.274
3517.36936,98.277
3515.32912,98.287
3513.28888,98.298
3511.24865,98.287
3509.20841,98.275
3507.16817,98.29
3505.12793,98.287
3503.0877,98.248
3501.04746,98.236
3499.00722,98.262
3496.96698,98.266
3494.92675,98.251
3492.88651,98.268
3490.84627,98.304
3488.80603,98.314
3486.7658,98.304
3484.72556,98.301
3482.68532,98.292
3480.64508,98.264
3478.60485,98.248
3476.56461,98.257
3474.52437,98.273
3472.48413,98.279
3470.4439,98.265
3468.40366,98.245
3466.36342,98.248
3464.32318,98.273
3462.28295,98.293
3460.24271,98.289
3458.20247,98.278
3456.16223,98.285
3454.122,98.304
3452.08176,98.311
3450.04152,98.302
3448.00128,98.279
3445.96105,98.255
3443.92081,98.243
3441.88057,98.252
3439.84033,98.263
3437.8001,98.263
3435.75986,98.277
3433.71962,98.312
3431.67938,98.321
3429.63915,98.303
3427.59891,98.298
3425.55867,98.299
3423.51843,98.288
3421.4782,98.273
3419.43796,98.276
3417.39772,98.301
3415.35749,98.312
3413.31725,98.306
3411.27701,98.298
3409.23677,98.287
3407.19654,98.291
3405.1563,98.303
3403.11606,98.299
3401.07582,98.292
3399.03559,98.29
3396.99535,98.297
3394.95511,98.292
3392.91487,98.28
3390.87464,98.263
3388.8344,98.244
3386.79416,98.228
3384.75392,98.231
3382.71369,98.255
3380.67345,98.277
3378.63321,98.278
3376.59297,98.263
3374.55274,98.26
3372.5125,98.268
3370.47226,98.272
3368.43202,98.281
3366.39179,98.282
3364.35155,98.274
3362.31131,98.282
3360.27107,98.301
3358.23084,98.313
3356.1906,98.32
3354.15036,98.32
3352.11012,98.312
3350.06989,98.303
3348.02965,98.295
3345.98941,98.294
3343.94917,98.296
3341.90894,98.288
3339.8687,98.283
3337.82846,98.281
3335.78822,98.268
3333.74799,98.268
3331.70775,98.296
3329.66751,98.318
3327.62727,98.306
3325.58704,98.286
3323.5468,98.302
3321.50656,98.334
3319.46633,98.333
3317.42609,98.308
3315.38585,98.3
3313.34561,98.305
3311.30538,98.297
3309.26514,98.279
3307.2249,98.267
3305.18466,98.273
3303.14443,98.287
3301.10419,98.294
3299.06395,98.287
3297.02371,98.281
3294.98348,98.289
3292.94324,98.303
3290.903,98.316
3288.86276,98.32
3286.82253,98.305
3284.78229,98.278
3282.74205,98.261
3280.70181,98.277
3278.66158,98.307
3276.62134,98.323
3274.5811,98.321
3272.54086,98.313
3270.50063,98.305
3268.46039,98.3
3266.42015,98.308
3264.37991,98.325
3262.33968,98.336
3260.29944,98.345
3258.2592,98.355
3256.21896,98.342
3254.17873,98.298
3252.13849,98.256
3250.09825,98.261
3248.05801,98.303
3246.01778,98.336
3243.97754,98.34
3241.9373,98.335
3239.89706,98.334
3237.85683,98.332
3235.81659,98.317
3233.77635,98.292
3231.73611,98.283
3229.69588,98.295
3227.65564,98.302
3225.6154,98.308
3223.57517,98.312
3221.53493,98.306
3219.49469,98.304
3217.45445,98.316
3215.41422,98.323
3213.37398,98.314
3211.33374,98.3
3209.2935,98.309
3207.25327,98.344
3205.21303,98.365
3203.17279,98.35
3201.13255,98.334
3199.09232,98.34
3197.05208,98.333
3195.01184,98.307
3192.9716,98.29
3190.93137,98.301
3188.89113,98.331
3186.85089,98.344
3184.81065,98.335
3182.77042,98.33
3180.73018,98.332
3178.68994,98.328
3176.6497,98.323
3174.60947,98.327
3172.56923,98.338
3170.52899,98.344
3168.48875,98.352
3166.44852,98.354
3164.40828,98.338
3162.36804,98.325
3160.3278,98.338
3158.28757,98.36
3156.24733,98.358
3154.20709,98.345
3152.16685,98.343
3150.12662,98.35
3148.08638,98.357
3146.04614,98.368
3144.0059,98.386
3141.96567,98.395
3139.92543,98.382
3137.88519,98.354
3135.84495,98.331
3133.80472,98.326
3131.76448,98.33
3129.72424,98.334
3127.68401,98.337
3125.64377,98.346
3123.60353,98.363
3121.56329,98.37
3119.52306,98.353
3117.48282,98.34
3115.44258,98.35
3113.40234,98.363
3111.36211,98.357
3109.32187,98.346
3107.28163,98.358
3105.24139,98.383
3103.20116,98.398
3101.16092,98.408
3099.12068,98.412
3097.08044,98.398
3095.04021,98.378
3092.99997,98.371
3090.95973,98.374
3088.91949,98.375
3086.87926,98.376
3084.83902,98.383
3082.79878,98.387
3080.75854,98.381
3078.71831,98.368
3076.67807,98.376
3074.63783,98.42
3072.59759,98.456
3070.55736,98.448
3068.51712,98.416
3066.47688,98.395
3064.43664,98.388
3062.39641,98.381
3060.35617,98.379
3058.31593,98.393
3056.27569,98.412
3054.23546,98.414
3052.19522,98.403
3050.15498,98.401
3048.11474,98.415
3046.07451,98.429
3044.03427,98.435
3041.99403,98.442
3039.95379,98.453
3037.91356,98.465
3035.87332,98.465
3033.83308,98.454
3031.79285,98.446
3029.75261,98.453
3027.71237,98.466
3025.67213,98.473
3023.6319,98.483
3021.59166,98.488
3019.55142,98.479
3017.51118,98.471
3015.47095,98.469
3013.43071,98.469
3011.39047,98.483
3009.35023,98.498
3007.31,98.501
3005.26976,98.501
3003.22952,98.501
3001.18928,98.513
2999.14905,98.535
2997.10881,98.53
2995.06857,98.508
2993.02833,98.5
2990.9881,98.501
2988.94786,98.504
2986.90762,98.496
2984.86738,98.471
2982.82715,98.443
2980.78691,98.422
2978.74667,98.403
2976.70643,98.379
2974.6662,98.319
2972.62596,98.217
2970.58572,98.115
2968.54548,98.001
2966.50525,97.82
2964.46501,97.584
2962.42477,97.352
2960.38453,97.172
2958.3443,97.045
2956.30406,96.939
2954.26382,96.823
2952.22358,96.68
2950.18335,96.543
2948.14311,96.518
2946.10287,96.643
2944.06264,96.855
2942.0224,97.094
2939.98216,97.284
2937.94192,97.369
2935.90169,97.37
2933.86145,97.314
2931.82121,97.187
2929.78097,97.012
2927.74074,96.819
2925.7005,96.62
2923.66026,96.427
2921.62002,96.236
2919.57979,96.05
2917.53955,95.91
2915.49931,95.838
2913.45907,95.833
2911.41884,95.886
2909.3786,95.974
2907.33836,96.07
2905.29812,96.164
2903.25789,96.256
2901.21765,96.36
2899.17741,96.489
2897.13717,96.617
2895.09694,96.711
2893.0567,96.79
2891.01646,96.88
2888.97622,96.942
2886.93599,96.956
2884.89575,96.95
2882.85551,96.935
2880.81527,96.901
2878.77504,96.831
2876.7348,96.752
2874.69456,96.715
2872.65432,96.719
2870.61409,96.718
2868.57385,96.687
2866.53361,96.65
2864.49337,96.654
2862.45314,96.745
2860.4129,96.909
2858.37266,97.065
2856.33242,97.161
2854.29219,97.213
2852.25195,97.245
2850.21171,97.269
2848.17148,97.266
2846.13124,97.196
2844.091,97.078
2842.05076,96.951
2840.01053,96.811
