TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
2134.08837,0.96936
2132.04813,0.9694
2130.00789,0.96953
2127.96766,0.96949
2125.92742,0.96928
2123.88718,0.96917
2121.84694,0.96928
2119.80671,0.96943
2117.76647,0.96946
2115.72623,0.96938
2113.68599,0.96926
2111.64576,0.96906
2109.60552,0.96892
2107.56528,0.969
2105.52504,0.96918
2103.48481,0.96929
2101.44457,0.96935
2099.40433,0.96935
2097.36409,0.96928
2095.32386,0.96927
2093.28362,0.96939
2091.24338,0.9694
2089.20315,0.96929
2087.16291,0.96918
2085.12267,0.9691
2083.08243,0.96904
2081.0422,0.96902
2079.00196,0.96904
2076.96172,0.96905
2074.92148,0.96898
2072.88125,0.96875
2070.84101,0.96854
2068.80077,0.96869
2066.76053,0.96905
2064.7203,0.96918
2062.68006,0.96907
2060.63982,0.96913
2058.59958,0.96929
2056.55935,0.96921
2054.51911,0.96909
2052.47887,0.96916
2050.43863,0.96919
2048.3984,0.96923
2046.35816,0.96936
2044.31792,0.96938
2042.27768,0.96936
2040.23745,0.96942
2038.19721,0.9694
2036.15697,0.96925
2034.11673,0.96915
2032.0765,0.96924
2030.03626,0.96932
2027.99602,0.9692
2025.95578,0.96895
2023.91555,0.96878
2021.87531,0.96882
2019.83507,0.96895
2017.79483,0.969
2015.7546,0.969
2013.71436,0.96899
2011.67412,0.96896
2009.63388,0.9689
2007.59365,0.9689
2005.55341,0.96893
2003.51317,0.96896
2001.47293,0.96897
1999.4327,0.96897
1997.39246,0.96892
1995.35222,0.96895
1993.31199,0.9691
1991.27175,0.96923
1989.23151,0.96926
1987.19127,0.96924
1985.15104,0.9692
1983.1108,0.96917
1981.07056,0.96912
1979.03032,0.96904
1976.99009,0.96896
1974.94985,0.96896
1972.90961,0.969
1970.86937,0.96901
1968.82914,0.96896
1966.7889,0.96892
1964.74866,0.96893
1962.70842,0.96901
1960.66819,0.96918
1958.62795,0.96933
1956.58771,0.9693
1954.54747,0.96914
1952.50724,0.96899
1950.467,0.96892
